HGNC ID	Approved symbol	Ensembl gene ID	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
HGNC:5	A1BG	ENSG00000121410	ENSG00000121410	1
HGNC:37133	A1BG-AS1	ENSG00000268895	ENSG00000268895	503538
HGNC:24086	A1CF	ENSG00000148584	ENSG00000148584	29974
HGNC:6	A1S9T			
HGNC:7	A2M	ENSG00000175899	ENSG00000175899	2
HGNC:27057	A2M-AS1	ENSG00000245105	ENSG00000245105	144571
HGNC:23336	A2ML1	ENSG00000166535	ENSG00000166535	144568
HGNC:41022	A2ML1-AS1	ENSG00000256661	ENSG00000256661	100874108
HGNC:41523	A2ML1-AS2	ENSG00000256904	ENSG00000256904	106478979
HGNC:8	A2MP1	ENSG00000256069	ENSG00000256069	3
HGNC:9	A2MR			
HGNC:10	A2MRAP			
HGNC:30005	A3GALT2	ENSG00000184389	ENSG00000184389	127550
HGNC:18149	A4GALT	ENSG00000128274	ENSG00000128274	53947
HGNC:17968	A4GNT	ENSG00000118017	ENSG00000118017	51146
HGNC:1	A12M1			
HGNC:2	A12M2			
HGNC:3	A12M3			
HGNC:4	A12M4			
HGNC:11	AA			
HGNC:13666	AAAS	ENSG00000094914	ENSG00000094914	8086
HGNC:12	AABT			
HGNC:13	AAC1			
HGNC:14	AAC2			
HGNC:21298	AACS	ENSG00000081760	ENSG00000081760	65985
HGNC:18226	AACSP1	ENSG00000250420	ENSG00000250420	729522
HGNC:13792	AACT			
HGNC:17	AADAC	ENSG00000114771	ENSG00000114771	13
HGNC:24427	AADACL2	ENSG00000197953	ENSG00000197953	344752
HGNC:50301	AADACL2-AS1	ENSG00000242908	ENSG00000242908	101928142
HGNC:32037	AADACL3	ENSG00000188984	ENSG00000188984	126767
HGNC:32038	AADACL4	ENSG00000204518	ENSG00000204518	343066
HGNC:50305	AADACP1	ENSG00000240602	ENSG00000240602	201651
HGNC:17929	AADAT	ENSG00000109576	ENSG00000109576	51166
HGNC:25662	AAGAB	ENSG00000103591	ENSG00000103591	79719
HGNC:19679	AAK1	ENSG00000115977	ENSG00000115977	22848
HGNC:30205	AAMDC	ENSG00000087884	ENSG00000087884	28971
HGNC:18	AAMP	ENSG00000127837	ENSG00000127837	14
HGNC:19	AANAT	ENSG00000129673	ENSG00000129673	15
HGNC:15886	AAR2	ENSG00000131043	ENSG00000131043	25980
HGNC:33842	AARD	ENSG00000205002	ENSG00000205002	441376
HGNC:20	AARS1	ENSG00000090861	ENSG00000090861	16
HGNC:49894	AARS1P1	ENSG00000249038	ENSG00000249038	106480683
HGNC:21022	AARS2	ENSG00000124608	ENSG00000124608	57505
HGNC:28417	AARSD1	ENSG00000266967	ENSG00000266967	80755
HGNC:54994	AARSD1P1	ENSG00000234969		117981788
HGNC:23993	AASDH	ENSG00000157426	ENSG00000157426	132949
HGNC:14235	AASDHPPT	ENSG00000149313	ENSG00000149313	60496
HGNC:17366	AASS	ENSG00000008311	ENSG00000008311	10157
HGNC:51526	AATBC	ENSG00000215458	ENSG00000215458	284837
HGNC:19235	AATF	ENSG00000275700	ENSG00000275700	26574
HGNC:21	AATK	ENSG00000181409	ENSG00000181409	9625
HGNC:22	AAVS1			17
HGNC:49667	ABALON	ENSG00000281376	ENSG00000281376	103021294
HGNC:23	ABAT	ENSG00000183044	ENSG00000183044	18
HGNC:24	ABC1			
HGNC:25	ABC2			
HGNC:26	ABC3			
HGNC:28	ABC7			
HGNC:27	ABC50			
HGNC:29	ABCA1	ENSG00000165029	ENSG00000165029	19
HGNC:32	ABCA2	ENSG00000107331	ENSG00000107331	20
HGNC:33	ABCA3	ENSG00000167972	ENSG00000167972	21
HGNC:34	ABCA4	ENSG00000198691	ENSG00000198691	24
HGNC:35	ABCA5	ENSG00000154265	ENSG00000154265	23461
HGNC:36	ABCA6	ENSG00000154262	ENSG00000154262	23460
HGNC:37	ABCA7	ENSG00000064687	ENSG00000064687	10347
HGNC:38	ABCA8	ENSG00000141338	ENSG00000141338	10351
HGNC:39	ABCA9	ENSG00000154258	ENSG00000154258	10350
HGNC:39983	ABCA9-AS1	ENSG00000231749	ENSG00000231749	104355297
HGNC:30	ABCA10	ENSG00000154263	ENSG00000154263	10349
HGNC:31	ABCA11P	ENSG00000251595	ENSG00000251595	79963
HGNC:14637	ABCA12	ENSG00000144452	ENSG00000144452	26154
HGNC:14638	ABCA13	ENSG00000179869	ENSG00000179869	154664
HGNC:32972	ABCA17P	ENSG00000238098	ENSG00000238098	650655
HGNC:40	ABCB1	ENSG00000085563	ENSG00000085563	5243
HGNC:11563	ABCB2			
HGNC:11564	ABCB3			
HGNC:45	ABCB4	ENSG00000005471	ENSG00000005471	5244
HGNC:46	ABCB5	ENSG00000004846	ENSG00000004846	340273
HGNC:47	ABCB6	ENSG00000115657	ENSG00000115657	10058
HGNC:48	ABCB7	ENSG00000131269	ENSG00000131269	22
HGNC:49	ABCB8	ENSG00000197150	ENSG00000197150	11194
HGNC:50	ABCB9	ENSG00000150967	ENSG00000150967	23457
HGNC:41	ABCB10	ENSG00000135776	ENSG00000135776	23456
HGNC:14114	ABCB10P1	ENSG00000274099	ENSG00000274099	56476
HGNC:31128	ABCB10P2			
HGNC:31129	ABCB10P3	ENSG00000261524	ENSG00000261524	728248
HGNC:31130	ABCB10P4	ENSG00000260053	ENSG00000260053	100132289
HGNC:42	ABCB11	ENSG00000073734	ENSG00000073734	8647
HGNC:51	ABCC1	ENSG00000103222	ENSG00000103222	4363
HGNC:53	ABCC2	ENSG00000023839	ENSG00000023839	1244
HGNC:54	ABCC3	ENSG00000108846	ENSG00000108846	8714
HGNC:55	ABCC4	ENSG00000125257	ENSG00000125257	10257
HGNC:56	ABCC5	ENSG00000114770	ENSG00000114770	10057
HGNC:40055	ABCC5-AS1	ENSG00000223882	ENSG00000223882	100873982
HGNC:57	ABCC6	ENSG00000091262	ENSG00000091262	368
HGNC:33352	ABCC6P1	ENSG00000256340	ENSG00000256340	653190
HGNC:33353	ABCC6P2	ENSG00000255277	ENSG00000255277	730013
HGNC:58	ABCC7			
HGNC:59	ABCC8	ENSG00000006071	ENSG00000006071	6833
HGNC:60	ABCC9	ENSG00000069431	ENSG00000069431	10060
HGNC:52	ABCC10	ENSG00000124574	ENSG00000124574	89845
HGNC:14639	ABCC11	ENSG00000121270	ENSG00000121270	85320
HGNC:14640	ABCC12	ENSG00000140798	ENSG00000140798	94160
HGNC:16022	ABCC13	ENSG00000243064	ENSG00000243064	150000
HGNC:61	ABCD1	ENSG00000101986	ENSG00000101986	215
HGNC:62	ABCD1P1			23785
HGNC:63	ABCD1P2	ENSG00000215151	ENSG00000215151	26983
HGNC:64	ABCD1P3	ENSG00000261233	ENSG00000261233	26982
HGNC:65	ABCD1P4	ENSG00000225293	ENSG00000225293	26957
HGNC:42662	ABCD1P5	ENSG00000214330	ENSG00000214330	642762
HGNC:66	ABCD2	ENSG00000173208	ENSG00000173208	225
HGNC:67	ABCD3	ENSG00000117528	ENSG00000117528	5825
HGNC:68	ABCD4	ENSG00000119688	ENSG00000119688	5826
HGNC:69	ABCE1	ENSG00000164163	ENSG00000164163	6059
HGNC:70	ABCF1	ENSG00000204574	ENSG00000204574	23
HGNC:53628	ABCF1-DT			107986587
HGNC:71	ABCF2	ENSG00000033050	ENSG00000033050	10061
HGNC:54751	ABCF2-H2BE1	ENSG00000285292	ENSG00000285292	114483834
HGNC:48841	ABCF2P1	ENSG00000242159	ENSG00000242159	344653
HGNC:48842	ABCF2P2	ENSG00000228769	ENSG00000228769	100422059
HGNC:72	ABCF3	ENSG00000161204	ENSG00000161204	55324
HGNC:73	ABCG1	ENSG00000160179	ENSG00000160179	9619
HGNC:74	ABCG2	ENSG00000118777	ENSG00000118777	9429
HGNC:13884	ABCG4	ENSG00000172350	ENSG00000172350	64137
HGNC:13886	ABCG5	ENSG00000138075	ENSG00000138075	64240
HGNC:13887	ABCG8	ENSG00000143921	ENSG00000143921	64241
HGNC:75	ABCR			
HGNC:17553	ABHD1	ENSG00000143994	ENSG00000143994	84696
HGNC:18717	ABHD2	ENSG00000140526	ENSG00000140526	11057
HGNC:18718	ABHD3	ENSG00000158201	ENSG00000158201	171586
HGNC:20154	ABHD4	ENSG00000100439	ENSG00000100439	63874
HGNC:21396	ABHD5	ENSG00000011198	ENSG00000011198	51099
HGNC:21398	ABHD6	ENSG00000163686	ENSG00000163686	57406
HGNC:23759	ABHD8	ENSG00000127220	ENSG00000127220	79575
HGNC:25656	ABHD10	ENSG00000144827	ENSG00000144827	55347
HGNC:16407	ABHD11	ENSG00000106077	ENSG00000106077	83451
HGNC:18289	ABHD11-AS1	ENSG00000225969	ENSG00000225969	171022
HGNC:40012	ABHD11-AS2			
HGNC:15868	ABHD12	ENSG00000100997	ENSG00000100997	26090
HGNC:19837	ABHD12B	ENSG00000131969	ENSG00000131969	145447
HGNC:20293	ABHD13	ENSG00000139826	ENSG00000139826	84945
HGNC:24538	ABHD14A	ENSG00000248487	ENSG00000248487	25864
HGNC:38856	ABHD14A-ACY1	ENSG00000114786	ENSG00000114786	100526760
HGNC:28235	ABHD14B	ENSG00000114779	ENSG00000114779	84836
HGNC:26971	ABHD15	ENSG00000168792	ENSG00000168792	116236
HGNC:49685	ABHD15-AS1	ENSG00000264031	ENSG00000264031	104355133
HGNC:13921	ABHD16A	ENSG00000204427	ENSG00000204427	7920
HGNC:16128	ABHD16B	ENSG00000183260	ENSG00000183260	140701
HGNC:28756	ABHD17A	ENSG00000129968	ENSG00000129968	81926
HGNC:28394	ABHD17AP1	ENSG00000198658	ENSG00000198658	728917
HGNC:33538	ABHD17AP2			
HGNC:34041	ABHD17AP3	ENSG00000250536	ENSG00000250536	648359
HGNC:34042	ABHD17AP4	ENSG00000229107	ENSG00000229107	729495
HGNC:34043	ABHD17AP5	ENSG00000263366	ENSG00000263366	91219
HGNC:34044	ABHD17AP6	ENSG00000226981	ENSG00000226981	644988
HGNC:38508	ABHD17AP7	ENSG00000260864	ENSG00000260864	100133212
HGNC:38509	ABHD17AP8	ENSG00000260540	ENSG00000260540	647144
HGNC:38510	ABHD17AP9	ENSG00000261536	ENSG00000261536	100132251
HGNC:24278	ABHD17B	ENSG00000107362	ENSG00000107362	51104
HGNC:26925	ABHD17C	ENSG00000136379	ENSG00000136379	58489
HGNC:26111	ABHD18	ENSG00000164074	ENSG00000164074	80167
HGNC:11320	ABI1	ENSG00000136754	ENSG00000136754	10006
HGNC:20035	ABI1P1	ENSG00000271484	ENSG00000271484	326268
HGNC:24011	ABI2	ENSG00000138443	ENSG00000138443	10152
HGNC:29859	ABI3	ENSG00000108798	ENSG00000108798	51225
HGNC:17265	ABI3BP	ENSG00000154175	ENSG00000154175	25890
HGNC:1364	ABITRAM	ENSG00000119328	ENSG00000119328	54942
HGNC:39851	ABITRAMP1	ENSG00000251106	ENSG00000251106	390403
HGNC:76	ABL1	ENSG00000097007	ENSG00000097007	25
HGNC:77	ABL2	ENSG00000143322	ENSG00000143322	27
HGNC:78	ABLIM1	ENSG00000099204	ENSG00000099204	3983
HGNC:19195	ABLIM2	ENSG00000163995	ENSG00000163995	84448
HGNC:29132	ABLIM3	ENSG00000173210	ENSG00000173210	22885
HGNC:79	ABO	ENSG00000175164	ENSG00000175164	28
HGNC:81	ABR	ENSG00000159842	ENSG00000159842	29
HGNC:30655	ABRA	ENSG00000174429	ENSG00000174429	137735
HGNC:21230	ABRACL	ENSG00000146386	ENSG00000146386	58527
HGNC:25829	ABRAXAS1	ENSG00000163322	ENSG00000163322	84142
HGNC:28975	ABRAXAS2	ENSG00000165660	ENSG00000165660	23172
HGNC:17369	ABT1	ENSG00000146109	ENSG00000146109	29777
HGNC:39557	ABT1P1	ENSG00000250496	ENSG00000250496	100420695
HGNC:18275	ABTB1	ENSG00000114626	ENSG00000114626	80325
HGNC:23842	ABTB2	ENSG00000166016	ENSG00000166016	25841
HGNC:82	ACAA1	ENSG00000060971	ENSG00000060971	30
HGNC:83	ACAA2	ENSG00000167315	ENSG00000167315	10449
HGNC:84	ACACA	ENSG00000278540	ENSG00000278540	31
HGNC:85	ACACB	ENSG00000076555	ENSG00000076555	32
HGNC:86	ACAD			
HGNC:87	ACAD8	ENSG00000151498	ENSG00000151498	27034
HGNC:21497	ACAD9	ENSG00000177646	ENSG00000177646	28976
HGNC:21597	ACAD10	ENSG00000111271	ENSG00000111271	80724
HGNC:30211	ACAD11	ENSG00000240303	ENSG00000240303	84129
HGNC:88	ACADL	ENSG00000115361	ENSG00000115361	33
HGNC:89	ACADM	ENSG00000117054	ENSG00000117054	34
HGNC:90	ACADS	ENSG00000122971	ENSG00000122971	35
HGNC:91	ACADSB	ENSG00000196177	ENSG00000196177	36
HGNC:92	ACADVL	ENSG00000072778	ENSG00000072778	37
HGNC:319	ACAN	ENSG00000157766	ENSG00000157766	176
HGNC:16467	ACAP1	ENSG00000072818	ENSG00000072818	9744
HGNC:16469	ACAP2	ENSG00000114331	ENSG00000114331	23527
HGNC:41426	ACAP2-IT1	ENSG00000229325	ENSG00000229325	100874306
HGNC:16754	ACAP3	ENSG00000131584	ENSG00000131584	116983
HGNC:93	ACAT1	ENSG00000075239	ENSG00000075239	38
HGNC:94	ACAT2	ENSG00000120437	ENSG00000120437	39
HGNC:15453	ACBD3	ENSG00000182827	ENSG00000182827	64746
HGNC:40701	ACBD3-AS1	ENSG00000234478	ENSG00000234478	107985353
HGNC:23337	ACBD4	ENSG00000181513	ENSG00000181513	79777
HGNC:23338	ACBD5	ENSG00000107897	ENSG00000107897	91452
HGNC:23339	ACBD6	ENSG00000230124	ENSG00000230124	84320
HGNC:17715	ACBD7	ENSG00000176244	ENSG00000176244	414149
HGNC:96	ACBP			
HGNC:97	ACC			
HGNC:98	ACCN			
HGNC:14594	ACCPN			
HGNC:23989	ACCS	ENSG00000110455	ENSG00000110455	84680
HGNC:34391	ACCSL	ENSG00000205126	ENSG00000205126	390110
HGNC:25070	ACD	ENSG00000102977	ENSG00000102977	65057
HGNC:2707	ACE	ENSG00000159640	ENSG00000159640	1636
HGNC:13557	ACE2	ENSG00000130234	ENSG00000130234	59272
HGNC:44365	ACE3P	ENSG00000224353	ENSG00000224353	100129123
HGNC:18356	ACER1	ENSG00000167769	ENSG00000167769	125981
HGNC:23675	ACER2	ENSG00000177076	ENSG00000177076	340485
HGNC:54674	ACER2P1	ENSG00000180105	ENSG00000180105	645978
HGNC:16066	ACER3	ENSG00000078124	ENSG00000078124	55331
HGNC:106	ACH			
HGNC:107	ACHAP			
HGNC:108	ACHE	ENSG00000087085	ENSG00000087085	43
HGNC:109	ACHM1			
HGNC:110	ACHM2			
HGNC:111	ACHM3			
HGNC:112	ACHRD			
HGNC:113	ACHRG			
HGNC:17066	ACIN1	ENSG00000100813	ENSG00000100813	22985
HGNC:4035	ACKR1	ENSG00000213088	ENSG00000213088	2532
HGNC:1565	ACKR2	ENSG00000144648	ENSG00000144648	1238
HGNC:23692	ACKR3	ENSG00000144476	ENSG00000144476	57007
HGNC:1611	ACKR4	ENSG00000129048	ENSG00000129048	51554
HGNC:21142	ACKR4P1	ENSG00000225415	ENSG00000225415	285737
HGNC:114	ACLS			
HGNC:115	ACLY	ENSG00000131473	ENSG00000131473	47
HGNC:116	ACMG			
HGNC:19288	ACMSD	ENSG00000153086	ENSG00000153086	130013
HGNC:34504	ACNATP	ENSG00000227411	ENSG00000227411	347275
HGNC:117	ACO1	ENSG00000122729	ENSG00000122729	48
HGNC:118	ACO2	ENSG00000100412	ENSG00000100412	50
HGNC:33904	ACOD1	ENSG00000102794	ENSG00000102794	730249
HGNC:33128	ACOT1	ENSG00000184227	ENSG00000184227	641371
HGNC:18431	ACOT2	ENSG00000119673	ENSG00000119673	10965
HGNC:19748	ACOT4	ENSG00000177465	ENSG00000177465	122970
HGNC:33159	ACOT6	ENSG00000205669	ENSG00000205669	641372
HGNC:24157	ACOT7	ENSG00000097021	ENSG00000097021	11332
HGNC:15919	ACOT8	ENSG00000101473	ENSG00000101473	10005
HGNC:17152	ACOT9	ENSG00000123130	ENSG00000123130	23597
HGNC:18156	ACOT11	ENSG00000162390	ENSG00000162390	26027
HGNC:24436	ACOT12	ENSG00000172497	ENSG00000172497	134526
HGNC:20999	ACOT13	ENSG00000112304	ENSG00000112304	55856
HGNC:119	ACOX1	ENSG00000161533	ENSG00000161533	51
HGNC:120	ACOX2	ENSG00000168306	ENSG00000168306	8309
HGNC:121	ACOX3	ENSG00000087008	ENSG00000087008	8310
HGNC:25621	ACOXL	ENSG00000153093	ENSG00000153093	55289
HGNC:41112	ACOXL-AS1	ENSG00000204581	ENSG00000204581	400997
HGNC:122	ACP1	ENSG00000143727	ENSG00000143727	52
HGNC:123	ACP2	ENSG00000134575	ENSG00000134575	53
HGNC:125	ACP3	ENSG00000014257	ENSG00000014257	55
HGNC:14376	ACP4	ENSG00000142513	ENSG00000142513	93650
HGNC:124	ACP5	ENSG00000102575	ENSG00000102575	54
HGNC:29609	ACP6	ENSG00000162836	ENSG00000162836	51205
HGNC:33781	ACP7	ENSG00000183760	ENSG00000183760	390928
HGNC:126	ACR	ENSG00000100312	ENSG00000100312	49
HGNC:17195	ACRBP	ENSG00000111644	ENSG00000111644	84519
HGNC:54745	ACRP1	ENSG00000175509	ENSG00000175509	645529
HGNC:127	ACRV1	ENSG00000134940	ENSG00000134940	56
HGNC:128	ACS3			
HGNC:29567	ACSBG1	ENSG00000103740	ENSG00000103740	23205
HGNC:24174	ACSBG2	ENSG00000130377	ENSG00000130377	81616
HGNC:26101	ACSF2	ENSG00000167107	ENSG00000167107	80221
HGNC:27288	ACSF3	ENSG00000176715	ENSG00000176715	197322
HGNC:3569	ACSL1	ENSG00000151726	ENSG00000151726	2180
HGNC:3570	ACSL3	ENSG00000123983	ENSG00000123983	2181
HGNC:40227	ACSL3-AS1	ENSG00000234193	ENSG00000234193	105373904
HGNC:3571	ACSL4	ENSG00000068366	ENSG00000068366	2182
HGNC:16526	ACSL5	ENSG00000197142	ENSG00000197142	51703
HGNC:16496	ACSL6	ENSG00000164398	ENSG00000164398	23305
HGNC:40772	ACSL6-AS1	ENSG00000223548	ENSG00000223548	101927693
HGNC:18049	ACSM1	ENSG00000166743	ENSG00000166743	116285
HGNC:32017	ACSM2A	ENSG00000183747	ENSG00000183747	123876
HGNC:30931	ACSM2B	ENSG00000066813	ENSG00000066813	348158
HGNC:10522	ACSM3	ENSG00000005187	ENSG00000005187	6296
HGNC:32016	ACSM4	ENSG00000215009	ENSG00000215009	341392
HGNC:26060	ACSM5	ENSG00000183549	ENSG00000183549	54988
HGNC:51295	ACSM5P1	ENSG00000260762	ENSG00000260762	100421779
HGNC:31665	ACSM6	ENSG00000173124	ENSG00000173124	142827
HGNC:16091	ACSS1	ENSG00000154930	ENSG00000154930	84532
HGNC:15814	ACSS2	ENSG00000131069	ENSG00000131069	55902
HGNC:24723	ACSS3	ENSG00000111058	ENSG00000111058	79611
HGNC:129	ACTA1	ENSG00000143632	ENSG00000143632	58
HGNC:130	ACTA2	ENSG00000107796	ENSG00000107796	59
HGNC:45169	ACTA2-AS1	ENSG00000180139	ENSG00000180139	100132116
HGNC:131	ACTA3			
HGNC:132	ACTB	ENSG00000075624	ENSG00000075624	60
HGNC:17780	ACTBL2	ENSG00000169067	ENSG00000169067	345651
HGNC:134	ACTBP1	ENSG00000229145	ENSG00000229145	643309
HGNC:135	ACTBP2	ENSG00000213763	ENSG00000213763	62
HGNC:136	ACTBP3			63
HGNC:137	ACTBP4	ENSG00000286676		64
HGNC:138	ACTBP5			
HGNC:139	ACTBP6	ENSG00000203413	ENSG00000203413	66
HGNC:140	ACTBP7	ENSG00000185607	ENSG00000185607	67
HGNC:141	ACTBP8	ENSG00000220267	ENSG00000220267	68
HGNC:142	ACTBP9	ENSG00000266920	ENSG00000266920	69
HGNC:31819	ACTBP10			446207
HGNC:33971	ACTBP11	ENSG00000188460	ENSG00000188460	644220
HGNC:150	ACTBP12	ENSG00000233125	ENSG00000233125	100462767
HGNC:45086	ACTBP14	ENSG00000229001	ENSG00000229001	389976
HGNC:55065	ACTBP15	ENSG00000213857		391334
HGNC:143	ACTC1	ENSG00000159251	ENSG00000159251	70
HGNC:51491	ACTE1P	ENSG00000172900	ENSG00000172900	399923
HGNC:144	ACTG1	ENSG00000184009	ENSG00000184009	71
HGNC:146	ACTG1P1	ENSG00000178631	ENSG00000178631	73
HGNC:147	ACTG1P2	ENSG00000229129	ENSG00000229129	74
HGNC:148	ACTG1P3	ENSG00000215388	ENSG00000215388	75
HGNC:149	ACTG1P4	ENSG00000236085	ENSG00000236085	648740
HGNC:151	ACTG1P6			78
HGNC:152	ACTG1P7			79
HGNC:153	ACTG1P8			80
HGNC:154	ACTG1P9	ENSG00000229349	ENSG00000229349	82
HGNC:155	ACTG1P10	ENSG00000231340	ENSG00000231340	83
HGNC:37651	ACTG1P11	ENSG00000229465	ENSG00000229465	414754
HGNC:44496	ACTG1P12	ENSG00000226642	ENSG00000226642	100418921
HGNC:49058	ACTG1P13	ENSG00000241305	ENSG00000241305	100418920
HGNC:49751	ACTG1P14	ENSG00000230581	ENSG00000230581	100418910
HGNC:51495	ACTG1P15	ENSG00000259904	ENSG00000259904	100418951
HGNC:51496	ACTG1P16	ENSG00000260298	ENSG00000260298	100418960
HGNC:51497	ACTG1P17	ENSG00000259315	ENSG00000259315	283693
HGNC:51498	ACTG1P18	ENSG00000218475	ENSG00000218475	100418924
HGNC:51499	ACTG1P19	ENSG00000237999	ENSG00000237999	644160
HGNC:51500	ACTG1P20	ENSG00000241547	ENSG00000241547	644961
HGNC:51501	ACTG1P21	ENSG00000232672	ENSG00000232672	100131291
HGNC:51502	ACTG1P22	ENSG00000271615	ENSG00000271615	100131953
HGNC:51503	ACTG1P23	ENSG00000230362	ENSG00000230362	442097
HGNC:49661	ACTG1P24	ENSG00000226359	ENSG00000226359	441783
HGNC:54872	ACTG1P25	ENSG00000234996		148709
HGNC:145	ACTG2	ENSG00000163017	ENSG00000163017	72
HGNC:156	ACTL2			
HGNC:157	ACTL3			
HGNC:158	ACTL4			
HGNC:159	ACTL5			
HGNC:24124	ACTL6A	ENSG00000136518	ENSG00000136518	86
HGNC:160	ACTL6B	ENSG00000077080	ENSG00000077080	51412
HGNC:161	ACTL7A	ENSG00000187003	ENSG00000187003	10881
HGNC:162	ACTL7B	ENSG00000148156	ENSG00000148156	10880
HGNC:24018	ACTL8	ENSG00000117148	ENSG00000117148	81569
HGNC:28494	ACTL9	ENSG00000181786	ENSG00000181786	284382
HGNC:16127	ACTL10	ENSG00000182584	ENSG00000182584	170487
HGNC:44626	ACTL11P	ENSG00000234667	ENSG00000234667	389120
HGNC:163	ACTN1	ENSG00000072110	ENSG00000072110	87
HGNC:20131	ACTN1-AS1	ENSG00000259062	ENSG00000259062	161159
HGNC:164	ACTN2	ENSG00000077522	ENSG00000077522	88
HGNC:165	ACTN3	ENSG00000248746	ENSG00000248746	89
HGNC:166	ACTN4	ENSG00000130402	ENSG00000130402	81
HGNC:44028	ACTN4P1	ENSG00000213493	ENSG00000213493	344978
HGNC:44032	ACTN4P2	ENSG00000214141	ENSG00000214141	391026
HGNC:51621	ACTP1	ENSG00000229890	ENSG00000229890	106480335
HGNC:167	ACTR1A	ENSG00000138107	ENSG00000138107	10121
HGNC:54703	ACTR1AP1	ENSG00000233370	ENSG00000233370	100287074
HGNC:168	ACTR1B	ENSG00000115073	ENSG00000115073	10120
HGNC:169	ACTR2	ENSG00000138071	ENSG00000138071	10097
HGNC:170	ACTR3	ENSG00000115091	ENSG00000115091	10096
HGNC:53965	ACTR3-AS1			101060091
HGNC:17256	ACTR3B	ENSG00000133627	ENSG00000133627	57180
HGNC:37724	ACTR3BP1	ENSG00000270242	ENSG00000270242	643050
HGNC:38677	ACTR3BP2	ENSG00000226481	ENSG00000226481	440888
HGNC:38678	ACTR3BP3	ENSG00000260327	ENSG00000260327	647156
HGNC:38681	ACTR3BP4	ENSG00000249283	ENSG00000249283	777774
HGNC:38682	ACTR3BP5	ENSG00000227264	ENSG00000227264	399746
HGNC:38683	ACTR3BP6	ENSG00000280263	ENSG00000226444	644773
HGNC:54971	ACTR3BP7	ENSG00000226444		100289004
HGNC:37282	ACTR3C	ENSG00000106526	ENSG00000106526	653857
HGNC:31820	ACTR3P1			100288580
HGNC:38676	ACTR3P2	ENSG00000232267	ENSG00000232267	100129013
HGNC:38679	ACTR3P3	ENSG00000242573	ENSG00000242573	100128020
HGNC:14671	ACTR5	ENSG00000101442	ENSG00000101442	79913
HGNC:24025	ACTR6	ENSG00000075089	ENSG00000075089	64431
HGNC:44210	ACTR6P1	ENSG00000248915	ENSG00000248915	100421495
HGNC:14672	ACTR8	ENSG00000113812	ENSG00000113812	93973
HGNC:17372	ACTR10	ENSG00000131966	ENSG00000131966	55860
HGNC:24027	ACTRT1	ENSG00000123165	ENSG00000123165	139741
HGNC:55127	ACTRT1P1	ENSG00000235239		100128268
HGNC:24026	ACTRT2	ENSG00000169717	ENSG00000169717	140625
HGNC:24022	ACTRT3	ENSG00000184378	ENSG00000184378	84517
HGNC:171	ACVR1	ENSG00000115170	ENSG00000115170	90
HGNC:172	ACVR1B	ENSG00000135503	ENSG00000135503	91
HGNC:18123	ACVR1C	ENSG00000123612	ENSG00000123612	130399
HGNC:173	ACVR2A	ENSG00000121989	ENSG00000121989	92
HGNC:174	ACVR2B	ENSG00000114739	ENSG00000114739	93
HGNC:44161	ACVR2B-AS1	ENSG00000229589	ENSG00000229589	100128640
HGNC:175	ACVRL1	ENSG00000139567	ENSG00000139567	94
HGNC:176	ACVRLK2			
HGNC:177	ACY1	ENSG00000243989	ENSG00000243989	95
HGNC:178	ACY1L			
HGNC:24104	ACY3	ENSG00000132744	ENSG00000132744	91703
HGNC:179	ACYP1	ENSG00000119640	ENSG00000119640	97
HGNC:180	ACYP2	ENSG00000170634	ENSG00000170634	98
HGNC:181	AD1			
HGNC:182	AD2			
HGNC:183	AD3			
HGNC:184	AD4			
HGNC:185	AD5			
HGNC:186	ADA	ENSG00000196839	ENSG00000196839	100
HGNC:1839	ADA2	ENSG00000093072	ENSG00000093072	51816
HGNC:30713	ADAD1	ENSG00000164113	ENSG00000164113	132612
HGNC:44550	ADAD1P1			100422386
HGNC:44552	ADAD1P2	ENSG00000267511	ENSG00000267511	100422407
HGNC:30714	ADAD2	ENSG00000140955	ENSG00000140955	161931
HGNC:31853	ADAL	ENSG00000168803	ENSG00000168803	161823
HGNC:187	ADAM1A	ENSG00000229186	ENSG00000229186	8759
HGNC:44366	ADAM1B	ENSG00000226469	ENSG00000226469	100420505
HGNC:198	ADAM2	ENSG00000104755	ENSG00000104755	2515
HGNC:209	ADAM3A	ENSG00000197475	ENSG00000197475	1587
HGNC:210	ADAM3B	ENSG00000260089	ENSG00000260089	1596
HGNC:212	ADAM5	ENSG00000196115	ENSG00000196115	255926
HGNC:213	ADAM6	ENSG00000271968	ENSG00000271968	8755
HGNC:214	ADAM7	ENSG00000069206	ENSG00000069206	8756
HGNC:215	ADAM8	ENSG00000151651	ENSG00000151651	101
HGNC:216	ADAM9	ENSG00000168615	ENSG00000168615	8754
HGNC:188	ADAM10	ENSG00000137845	ENSG00000137845	102
HGNC:189	ADAM11	ENSG00000073670	ENSG00000073670	4185
HGNC:190	ADAM12	ENSG00000148848	ENSG00000148848	8038
HGNC:43841	ADAM12-OT1			
HGNC:193	ADAM15	ENSG00000143537	ENSG00000143537	8751
HGNC:195	ADAM17	ENSG00000151694	ENSG00000151694	6868
HGNC:196	ADAM18	ENSG00000168619	ENSG00000168619	8749
HGNC:197	ADAM19	ENSG00000135074	ENSG00000135074	8728
HGNC:199	ADAM20	ENSG00000134007	ENSG00000134007	8748
